section,metric,value,note
implementation,version,v1,
definition,target,model_c_python_only_ncloc,
definition,scan_scope,sonar.inclusions=**/*.py,
definition,checkout_method,detached_temporary_git_worktree,
definition,resume_key,snapshot_key,
definition,dry_run,0,
input,snapshots,1496,
input,repositories,167,
input,repo_month_coverage,1954,
input_by_role,control_snapshots,706,
input_by_role,control_repositories,104,
input_by_role,control_repo_month_coverage,1040,
input_by_role,treatment_snapshots,790,
input_by_role,treatment_repositories,63,
input_by_role,treatment_repo_month_coverage,914,
run,selected_targets,1,
run,processed_this_run,1,
run,skipped_existing_success,0,
run,successful_this_run,1,
run,failed_this_run,0,
result_status,dry_run,1495,
result_status,success,1,
result,successful_snapshots,1,
result,unresolved_snapshots,1495,
result,successful_repo_month_coverage,14,
qc,python_file_count_mismatches,0,
qc,orphan_result_snapshot_keys,0,
ncloc_py,min,410.0,
ncloc_py,median,410.0,
ncloc_py,mean,410.0,
ncloc_py,max,410.0,
